cleaned_content,sentiment
"lebih mudah dapatkan tiket . tapi. proses pengembalian dana refund terlalu lama. terlalu besar biaya admin ubah jadwal maupun refund. 25% wow. seakan dipaksa untuk tidak melakukan refund atau ubah jadwal jika tak ingin rugi besar. cs wa hanya robot yang jawab, 24 jam tak ada respon dari pihak kai.",0
"aplikasi tidak jelas masa' kartu jak lingko bisa tidak terbaca di aplikasi nya sendiri mengira pakai aplikasi nya bisa lebih gampang, eh ternyata makin rumit dan tidak jelas",0
ya bagus,1
jos,1
jempol ke atas melipat tangan,1
bermasalah otp .error mulu.hapuslah saja aplikasi ini,0
sangat membantu kita,1
"aplikasi ini sangat bagus dan mudah di pakai , fiturnya sagat lengkap rute nya sangat jelas untuk kita, ayo buruan download sekarang",1
"bagus sih menurut aku,cuma sayangnya tidak bisa tarik /tidak bisa transfer kalau di kai pay nya ,coba saja di tambah fitur buat bisa transfer atau tarik tunai uang di kai pay nya , pasti lengkap dan mantap jempol ke atas",1
aplikasi buruk sering upgrade terus,0
ini kok tidak bisa beli tiket kak lokal ya kak,1
"harapannya tempat duduk tidak saling berhadapan,",1
"aplikasi tidak berguna, tinggal masuk pembayaran malah time out direfresh tiba-tiba tiket tidak tersedia padahal rela dibelain begadang. kalau tidak bisa maintaince mending dibuat loket saja tidak usah pakai aplikasi",0
mudah dan membantu,1
jadi mudah buat batalin tiket atau ngubah jadwal,1
sangat bermanfaat untuk melakukan perjalanan menggunakan transjakarta dengan fitur² aplikasi yang sangat lengkap,1
"error. dari tadi pesan tiket jadwal tidak ditemukan tapi terjual habis, saya mau beli tidak bisa bisa",0
bagus,1
"aplikasi tidak jelas, jangan download aplikasi gjls",0
sangat membantu,1
bermanfaat,1
oke,1
aplikasi sering error terutama waktu pembayaran,0
lemot aplikasinya,0
bagus,1
kai keren,1
baguuuus banget,1
"semakin kesini pelayanan bukan semakin bagus malah makin berkurang terutama bogor-block sama, sudah bawanya pelan banget tidak sampai 50km sudah begitu armada dibatasi/dikurangi, tolong tingkatkan lagi",0
sangat membantu sekali. si,1
"tolong bos, kalau release ap dicek dulu internalnya, masa mau masuk saja tidak bisa. sudah release saja ke publik. mana pakai review palsu buat muji2 lagi.",0
semoga layanan kai lebih baik dan lebih baik.sukses selalu kai. hati kuning,1
"aplikasi nya dah upgrade, sekarang beli tiket tidak harus berkali-kali keluar dari aplikasi oke",1
cepat singkat padat,1
habis di update malah suka tidak bisa di buka bagaimana ya min?,0
bagus news,1
ok pelayanan nya sangat puas,1
"pakai transjakarta jadi memudahkan perjalanan , untuk rute sangat banyak dan tahu jadwal atau kedatangan serta keberangkatan bus terimakasih transjakarta",1
"mau login saja susahnya ampun, sudah benar pakai nomor telpon malah suruh memasuki password., opsi nya kacau wrong fail terus",0
aplikasi ini benar-benar memudahkan mobilitas sehari-hari. terima kasih transjakarta sudah terus berinovasi untuk pengguna!,1
kod otp susah banget tak ada balasan ?,0
"tolong metode pembayaran ditambahin dong optionnya, masa kartu debit, shope pay sama ovo, gopay mana gopay.?",0
"mohon maaf, saya daftar tidak bisa alasannya sudah terdaftar padahal baru instal.",0
semoga transjakarta lebih baik kedepannya,1
error tidak bisa login,0
sangat membantu dan makin bagus pelayanan nya,1
"proses sangat lancar, semoga pengemnalian juga lancar",1
makin mudah pakai aplikasi transjakarta karena bisa bayar disini dan cek rutenya. sok far sok bagus sih,1
membantu,1
sangat membantu,1
keren memudahkan maju terus kereta api,1
tambahkan aplikasi bayar pakai gopay,1
teri akasih atas pelayanan on line kai.,1
"gps untuk tentukan lokasi saya tidak fungsi, sebelumnya fungsi, mau masuk ligin juga trouble harus via google, fix itu",0
"dengan transjakarta, pergi ke mana pun jadi mudah dan nyaman. transjakarta mantap.",1
aplikasi dk jelas banyka mafia cancel saja susah khusus nya divre 3 dan 4 palembang lampung linggau,0
scan out nya tolong di memperbaiki masa tidak bisa keluar aneh!,0
sering error kendaraan nya tidak terdeteksi,0
mantap,1
lumayan ada peningkatan,1
"terbaik, terimakasih",1
"sudah login email kadang keluar sendiri pas dimasuki error lagi bikin emosi tolong aku sudah makek ini email orang"" karena aplikasinya tiap update an suruh login email pas login malah tidak bisa kecewa banget duh benerin ya kai group",0
oke banget,1
keren mantap,1
"petugas tidak bisa bekerja dengan baik malah marahin orang pas meminta bantu scan masuk , tidak bisa meminta tolong ke petugas nya",0
sangat membantu dalam proses transaksi perjalanan.,1
"aplikasinya payah, tidak membantu banget. sudah memasuki data benar tetap saja tidak mau. proses verifikasi juga tidak detil, kenapa sih mesti ke sms tidak ke email saja.",0
"sudah pernah daftar, pakai nih aplikasi, dan di minggu berikutnya pas mau login selalu error aplikasi. memang beda ya rada tidak niat bikin mudah segala hal. agak super ribet error terus.",0
lebih mudah dan bisa di akses dimanapun dan dengan metode pembayaran ewallet,1
fast respon,1
memberi informasi yang mudah,1
"please, balikin ke versi lama saja. versi barunya jelek banget. saya mau pesan tiket lokal pas isi tujuan tidak bisa terus alasannya karena koneksi padahal wifi sama data sinyal bagus. di update bukannya makin bagus malah makin jelek. nih yang kerja niat kerja tidak sih? balik jaman batu saja mending asw",0
"yang mau bayar pakai gopay atau ovo pakai saja aplikasi jaklingko ada sumber bayarnya nanti gopay atau ovo, selamat mencoba semoga berhasil. amin",0
bagus aplikasi,1
"saya kecewa dengan pelayanan dan aplikasi nya,karena sudah bayar tiket tapi tiket nya tidak muncul",0
aplikasi tidak bermutu.metode pembayaran yang jelas lah.kalau mau masarin produk mu itu yang benar jangan sembarangan.hampir semua bumn di indonesia kayak begini tidak jelas,0
"aplikasi paling membantu kalau kebingungan cari rute tj, apalagi aku yang dari luar kota jakarta. mudah digunakan karena fiturnya mudah dipahami",1
pertamax gan!,1
the best kai,1
error terus,0
aplikasi nya tidak jelas,0
wih,1
juos,1
mudah dan tidak ribet dan tidak perlu antri loket,1
sudah bayar pakai shope pay saldo sudah kedebet namun tidak muncul tiket sok sad coba wa admin kai sedang sibuk semua sok sad,0
balikin duid gua tiket gagal tapi saldo terpotong mana repot harus mengurus sana sini,0
bagus banget nih aplikasi. jadi tidak bingung mau berpergian sendirian pun,1
ngedown aplikasinya sudah 2 hari,0
"buruk daftar pakai nomor hp kode otp not valid,pakai email kode otp not valid jam 17:00 wajah sangat marah",0
enjoi your trip,1
aplikasi bagus dan mudah,1
praktis bisa boking tiket jauh² hari keberangkatan.,1
"mantap, semoga bisa lebih ditingkatkan lagi",1
mesin di halte banyak yang tidak respon sehingga antrian jadi rame,0
mantap,1
api api api api,1
cepat dan mudah,1
mantap,1
"pesan tiket ditungguin dari tengah malam tidak bisa, loading terus, memang kalau tidak niat bikin aplikasi tidak usah bikin lah. minimal di update aplikasi biar customer nyaman.",0
"user friendly, proses cepat, dan sangat efektif",1
keren,1
tidak langsung di bus harus di halte besar mending jangan top up sanyag duitnya,0
"fasilitas metode pembayaran kurang lengkap, perlu ditambahi lagi buat tambah pilihan metode pembayaran mobile banking nya",1
"server lemot,perbaiki lagi tolong saya cari tiket kesusahan,ini jaringan wifi ku sudah 5g masih lemot servernya",0
oke bang,1
"dipakai cek jadwal tidak bisa, terus bagaimana mau pesan kalau tulisannya ""ups jadwal tidak tersedia""",0
"aplikasinya sangat membantuuntum aku yang suka bingung sama rute bus, jadi bisa tau rute bus dan bus mana yang akan dinaiki",1
"aplikasi sering galat error. tiap kali di menu pembayaran selalu galat dan suka ngereset sendiri untuk metode pembayarannya, birokrasi ngisi ulang dulu nya terlalu lama dan menyebalkan. tolong akses servernya diperbanyak supaya bisa banyak orang akses sekaligus. aplikasi sekelas bumn tapi sering galat. dicoba di beberapa hp. sekelas device samsung s24 pun tetap galat dan error.",0
suka error waktu pembayaran sama top up,0
oke,1
mantap,1
"aplikasinya bagus, tapi saya mohon untun management kai. untuk wilayah rangkasbitung - merak tolong dibuat jalur buat krl juga. terima kasih, semoga saran dari pelanggan setia ini didengar",1
bagus,0
"aplikasi menyusahkan kenapa log out sendiri, dan susah log ini kembali",0
"kurang bagus, aplikasinya mau di update terus. kalau tidak diupdate tidak bisa dibuka",0
joz,1
"apdet terus, heran",0
"bagus, sangat membantu dalam perjalanan setiap hari. apalagi buat yang bolak-balik kerja. semoga makin oke",1
mudah meskipun kadang harus war tiket di hari tertentu namun sejauh ini pelayanan sangat memuaskan,1
keren dan informatif,1
mantap,1
bagus,1
sistem tidak jelas. pembayaran lewat qris berhasil. tapi di aplikasi kai gagal. maksud nya apa coba. buruk sekali sangat mengecewakan!,0
tidak akurat,0
sangat membantu dan bermanfaat,1
"pemilihan halte tidak tepat,",0
bagus. terima kasih jempol ke atas,1
mantap,1
bagus dan mudah di operasikan,1
sangat memudahkan be pergian ke luar kota. jempol ke atas,1
"terlalu sering update dan error, pernah sampai ketinggalan kareta karena aplikasinya error padahal lagi buru buru huft.",0
"benahi rute 1f palmerah bundaran senayan ,kalau hari libur / sudah malam driver ngetem lama dan malas2an !",0
"apaan anjir kereta lokal kai tidak efektif dan efisien. dari jam 00 sampai 1.30 problem terus mulai tidak ada jadwal, jadwal tidak ditemukan, timeout dulu. 1 jam mau cari tiket dan dapat bangku saja susah. wasting time mending beralih ke mode transportasi lain saja wong sama saja malah jadwal kai sekarang lebih lama. kecewa",0
sampah,0
bodoh kali ini aplikasi bisa overload. pesan tiket jadi susah gara-gara server kepenuhan sekelas kai kayak begini astaga,0
mantap jon.,1
membantu,1
"mau bikin kartu susah karena mesinnya tidak srmua halte punya, sekalinya ada malah kartu habis, disuruh registrasi online pakai aplikasi malah jawabnya kami akan memberikan anda pengalaman yang baik mohon ditunggu beberapa saat lagi. sampai kapan saya harus naik turun angkot dengan malu? tidak punya kartu tapi naik"" mulu. programnya bagaimana ini, siapa sih yang tanggung jawab soal aplikasi""an begini? tidak mungkin cuma 1 orang yang kerja kan, pasti ada team khusus jaklingko""an, urus lah jangan makin gaji buta mulu jempol ke bawah warna kulit cerah jempol ke bawah warna kulit cerah jempol ke bawah warna kulit cerah",0
uninstall ap laah. download ap kan agar mudah melakukan pembayaran pakai gopay / ovo eeh malah di hapus metode pembayarannya. bye bye,0
servernya benerin servernya lemot servernya server server jadi sering telat berangkat maupun pulang gara² servernya server server benerin oy,0
meminta update terus,0
bersih dan ontime,1
bagus,1
nana tiket beeh,0
"aplikasinya tidak bisa buat registrasi, berkali² di coba tidak bisa",0
ok,1
aplikasi yang sangat membantu untuk cek posisi bus dan estimasi waktu kedatangan. fitur real-time tracking sangat akurat!,1
buruk sangat buruk,0
mudah-mudahan untuk daerah bekasi cepat rampung. karena macet terus di tol wajah gembira berurai air mata wajah gembira berurai air mata wajah gembira berurai air mata wajah gembira berurai air mata,1
"di update bukannya makin benar malah makin bobrok. tadinya buat mantau mobil jak 10. soalnya kalau pagi banyak yang ngetem itu mereka. jadi bisa pakai kereta kalau mereka pada ngetem. tapi setelah update malah lemot, banyak yang tidak ketedect",0
"lemot banget sekarang, beda sama yang sulu, yang sekarang menang di tampilan doang. aplikasinya mah lemot banget. mohon diperbaiki min.",0
"saya tidak bisa mengubah jadwal keberangkatan saya, dan saya juga sudah menghubungi provider kai, tetapi pihak kai tidak membalas, saya cukup kecewa, tolong di permudah untuk mengubah jadwal sekian terimakasih.",0
ok,1
mrt jakarta oke,1
menjadi lebih baik transjakarta,1
sangat membantu,1
"meminta tolong nih disediakan ruangan perokok dong di kereta, kita kalau perjalanan jauh yang perokok aktif plonga plongo dalem kereta buset deh, terima kasih",1
amneh bamnget jaklimko mendingan jak mania menunjuk ke atas (dibalik) menunjuk ke atas (dibalik) menunjuk ke atas (dibalik) menunjuk ke atas (dibalik) menunjuk ke atas (dibalik),0
pelayanan sangat memuaskan,1
jos,1
lambat proses nya transaksi sudah 2x tapi tidak ada boarding pas nya,0
"membantu banget pas buru-buru ke kantor, bisa lihat bus sudah sampai mana dan kira-kira berapa menit lagi",1
aplikasi bodoh gara-gara ini gua sering ketinggalan munculin qris tidak bsia2. sudah tau rating jelek semua tapi tidak mau upgrade diperbaiki.,0
akhirnya setelah update malah tidak bisa pakai.,0
ok,1
down tiap war doho.,0
nyaman juga aman,1
mantab,1
keren,1
"ingin tau siapa developer bego yang bikin aturan kudu selfie pakai kartu, cuma tidak dipakein filepicker biar user bisa compres foto yang dibatasi maksimum 2 mbak. sudah begitu sering internal server error pula.",0
mantap kai maju terus,1
bagus bisa mempermudah penumpang dalam pembelian tiket.mantap !,1
baru saja gue instal sudah tidak bisa daftar putar mulu aplikasi nih ya elah,0
semoga kau selalu yang terbaik,1
"aplikasi tidak jelas, sudah ada jadwal ditanggal malah jadwal tidak ditemukan, hapus saja aplikasinya",0
ribet terlalu ketat,0
merasa terbantu sekali dengan aplikasi ini,1
aplikasi sangat membantu sekali karena kita bisa melihat lokasi dimana bus berhenti jadi tidak perlu ke terminal,1
bagus,1
"saya ingin membuat akun tapi tidak mendapatkan kode otp sudah saya coba selama 1 minggu tetap tidak bisa, layanan keluhan juga tidak berguna, selalu disuruh menunggu, masa selama 1 minggu masih menunggu",0
"tolong itu kai segera perbaiki aplikasi ini, baru update versi terbaru palah disuruh aktivasi kak-pay lagi. jelas-jelas sudah banyak riwayat pembelian tiket kereta, dan saldo sebelumnya pun hilang. cal cs disuruh menunggu lama dan berbelit2 kirim email baru bisa di proses, di wa pun bot sahaja yang reply. saran kasih stand by cs di aplikasi via chat atau cs di wa biar mempermudah customer yang mengalami kendala.",0
jempol ke atas jempol ke atas,1
"lawak bro sering ngebug,sudah jadi member basic malah out lagi",0
"aplikasi apaan sih tidak jelas bet , gue sudah pesan tiket lokal , nah abistu disuruh jadi member basic dulu, pas sudah daftar mau pencet lanjutkan saja tidak bisa bisa mentok di lanjutkan doang aneh",0
refund gagal terus dengan keterangan timeout,0
server sedang bermasalah mulu,0
sudah baik,1
belum coba naik tapi katanya keren,1
apliksi update mulu,1
"agak ribet min,cuba kayak traveloka",1
aman nyaman,1
aplikasi jelek cuiih,0
"aplikasinya bagus banget bisa membantu kapan busnya datang jadi tidak telat atau menunggu lama, kerennya bisa beli tiket langsung di aplikasi",1
lama downloadnya,0
"sebenarnya aplikasi nya membantu banget sih, apalagi untuk kita yang sering lupa bawa kartu but waktu qris nya error tidak bisa dibantu sama petugas yang di halte bermis. gila sih, sudah salah malah menyolot lagi",0
"seminggu war tiket sampai begadang terus aplikasi error. tidak dapat"" tolong diperbaiki!",0
wow,1
murah tetap berkualitas & nyaman,1
"turun bintang, setelah update, saya tidak bisa melacak kendaraan yang saya mau naiki, sinyal aman, wifi kencang, tapi tetap tidak bisa mendeteksi posisi bus yang saya tunggu",0
bagus,1
aplikasi yang sangat berguna dan memudahkan perjalanan antar jakarta,1
aplikasi tidak bisa dipakai,0
memudahkan . . jempol ke atas jempol ke atas jempol ke atas,1
"aplikasi yang menyusahkan untuk membeli tiket,sudah ikuti aturan eh tetap saja tidak bisa masuk padahal email sudah diisi dengan lengkap . ! tidak memudahkn orang buat beli",0
mantab,1
baik,1
"sebetulnya aplikasinya sangat membantu dan menguntungkan karena tidak ada biaya admin, tapi seringkali aplikasi bekerja tidak sesuai dengan yang diminta. contohnya: order keberangkatan halte senen sentral tapi saat buka qr jadi pasar senen, jadi tidak bisa masuk dan harus naik ke jpo untuk scan qr, beruntung kalau petugasnya baik jadi bisa tetap masuk dan scan qr nanti. tolong perbaikannya ya. saya capek disalahpahami sama petugas terus padahal saya order sudah sesuai ucapan petugasnya.",0
bagus,1
au ah,0
"fleksibel, mudah digunakan",1
lama banget menunggu bisnya sudah begitu montior kedatangan bis di halte tidak akurat,0
tolol tidak bisa login,0
bagus,1
ok,1
mungkin memang bisa mengurangi antrian di loket. tapi aplikasinya selalu bikin ribet pas mau di pakai. tiap mau buka harus update aplikasi menuhin memori saja. dan kadang error tidak bisa pakai beli tiket jadi harus instal ulang. pokoknya tiap mau naik kereta selaly dibikin pusing karena harus update terus aplikasi nya,0
keren,1
semakin mudah ada aplikasi ini membantu mengetahui jadwal dan program dari transjakarta,1
baru update 10 juli 2025 masa 24 juli 2025 update lagi. tolong dong jangan sering² update kebanyakan update mulu deh. sudah sering gue update² tapi ya isinya sama saja kayak begitu,0
"kalau memang boarding pas untuk bayi hanya bisa dipakai maksimal usia bayi 3th 0 bulan 0 hari, harusnya usia lebih dari itu tidak bisa diinput agar tidak memberikan harapan palsu, sudah dpet boarding pas eh ketika mau berangkat tidak bisa, harus beli tiket, tapi percuma beli tiket kursinya juga tidak dipakai.",0
mantap,1
"mantul.bersih,nyaman,aman.",1
"sangat recommended, mempermudah saya saat ingin berpergian di jakarta",1
"aplikasi lemot saldo hilang ilangan, tiket sudah kebeli hilang sendiri. hampir saja ketinggalan kereta",0
"pelayanan kai sangat baik. menyarankan stasiun sepanjang bisa dijadikan antar kota karena stasiunnya sudah bagus dan besar, rumah saya dekat dengan stasiun tersebut. terima kasih",1
cepat dan aman,1
aplikasi transjakarta sangat berguna bagi saya yang baru pertama kali menggunakan transportasi umum di jakarta. fitur peta koridor dan informasi tentang lokasi halte sangat membantu!,1
bagus service,1
pengisian saldo lambat masuk nya,0
"bagus kok, aku suka banget!",1
"akhir2 ini sering error, pesan tiket lama banget",1
payah nih aplikasi kai. sudah pesan tiket lrt dan saldo sudah terpotong tapi tiket tidak muncul. akhirnya pakai e-money juga,0
"banyak kendala;, diceritakan disini terlalu panjang ngejelasinnya cukup bintang 1 saja jawabannya !",0
"aplikasi cacat, tidak usah banyak pakai otp. otp sekali saja astaga. di klik tidak mau, error mulu",0
pelayanan kai semakin baik.,1
bisa di batalkan,1
pepek error mulu nih aplikasi,0
bagus,1
"hai developer, kenapa saya daftar tidak bisa, terus di menu buat sandi ,pas saya buat sandi juga di klik oke lanjutkan itu tidak bisa?",1
"supir jak lingko tolol, tidak kayak angkot 2 ribuan gua berdiri di atas tulisan jak lingko, sudah lambai tangan, penumpang sepi malah lanjut jalan monyet, mentang mentang cuma ada gua sendiri disitu",0
sangat membantu,1
tingkatkan lagi kualitas aplikasi,1
"aplikasi yang memudahkan banget buat tau jadwal bis yang mau digunain, dan masih banyak fitur yang canggih lainnya",1
gangguan terus,0
menambah bagus,1
"parah benar kai , pesan tiket 6 orang , dana sudah terpotong tapi keterangan gagal",0
setelah pembaruan jadi lemot,0
oke mantap,1
"di update bukannya malah bagus, malah tidak bisa ngedetect posisi bus datang, mana sering error padahal jaringan stabil wajah marah",0
"gbsa pembatalan lewat e wallet padahal sudah ada e walletnya,data tidak tersedia terus",0
bagus,1
aplikasi sudah informatif. cuma sayangnya kenapa seakan-akan dibuat asal jadi ya?,0
"alhamdulillah terimakasih aplikasi tj sangat membantu, setiap persiapan mau pergi, posisi tj pergerakan menampak baik sekali jelas.",1
terbaik,1
sangat membantu sekali dalam berpergian menggunakan kereta semoga semakin maju kai,1
sangat praktis terus tingkatkan kualitas & pelayanan yang sudah baik ini,1
sangat membantu,1
baru download,1
"suka keluar sendiri mana suka lupa kata sandi,mau buat lagi yang baru malah no identitas nya sudah di pakai duh bagaimana sih bikin kesel wajah menangis keras harus update terus perasaan ini aplikasi",0
sangat membantu,1
memudahkan,1
"gampang masuknya, mempermudah transaksi kai tidak perlu lagi mengantri tiket",1
pelayanan kai semakin bagus,1
sngat membantu dalam reservasi.l tiket. informasi dan perkembangan,1
keren,1
ok,1
ok,1
"tidak bisa mengaktifkan akun yang sudah dinonaltifkan nomernya, tidak bisa ganti kartu jaklingko, ribet, ngechat cs nya tidak dijawab.",0
"sudah baik, tolong di update terus untuk posisi bus nya agar lebih akurat",1
"aplikasi yang sangat membantu kita untuk tau kode bus, jadwal serta tujuan yang kita mau cari. mudah dipahami dan gampang banget diakses oleh semua orang.",1
saat ada keadaan genting mau batalkan pesanan susah dan dibuat ribet mau lewat aplikasi ataupun ke stasiun tetap susah tidak bisa padahal masih 2 jam lebih sebelum waktu pembatalan,0
"bagaimana sih, tiap buka aplikasi selalu disuruh update terus, sudah update berkali-kali pun sama saja, tidak efisien banget",0
jempol ke atas jempol ke atas,1
jos,1
"tolong dong dibenerin metode pembayarannya. tertera shope pay sama ovo tapi tidak bisa buat bayar, nge bug terus hadeh",0
mantap di tingkatkan,1
"saya pakai aplikasi ini, tapi ketika tap ini lama sekali, bahkan pernah tidak bisa,padahal saldo sudah terpotong, kedua ketika tap out qr tidak valid.",0
kerren sangat mudah dan inovatif dan moderen,1
bagus,1
"saya beberapa bulan ini tidak bisa pesan tiket, karena biasanya waktu pemesanan 7 menit punya saya bahkan tidak sampai 1 menit, dulu awalnya cuma dikasih waktu 30 detik, sekarang malah benar-benar cuma 00:00 doang, jadi tidak bisa pesan sama sekali, sudah komplain ke cs juga sama saja hasilnya",1
"sudah bayar tiket sukses tapi tiket tidak muncul, bagaimana ini kai?",0
"memudahkan para pelanggan transjakarta dalam menemukan rute terdekat, didukung oleh sistem yang canggih dan terupdate",1
"tarif di aplikasi tidak sesuai dengan pakai kartu. untuk jam 5-7 pagi harusnya 2rb tetapi tetap 3500. dan juga saya sudah coba beli, transaksi sudah berhasil dan saldo di astrapay saya terpotong tetapi tiketnya tidak muncul sehingga tidak bisa digunakan",0
cepat aksesnya dan simple fiturenya.,1
macet pas di memasuki kode otp nya. tidak bermutu.!,0
bagus,1
mudah tidak ribet top dah,1
sangat menganggumkan.,1
koneksi agak lemot,1
"transportasi terbaik memudahkan prjalanan kita kemana saja. selain mudah ini juga murah. perjalanan jadi makin aman . driver juga enak tidak ugal"" . tempat duduk nyaman dan busnya juga tidak apek dalemnya",1
gbsa buka,0
"setelah di update malah dipakai buat pesan tiket tulisan nya tidak ada jadwal trus , sekali ada malah time out mulu",0
ok,1
topup saldonya lama masuk,0
